FK_Article_Type	Article	Type	ArticleType	Oid
FK_ConfigurationPrinters_CreatedBy	ConfigurationPrinters	CreatedBy	UserDetail	Oid
FK_ArticleFamily_CreatedWhere	ArticleFamily	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionGroup_UpdatedBy	UserPermissionGroup	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceSeries_FiscalYear	DocumentFinanceSeries	FiscalYear	DocumentFinanceYears	Oid
FK_ConfigurationPrinters_CreatedWhere	ConfigurationPrinters	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleFamily_DeletedBy	ArticleFamily	DeletedBy	UserDetail	Oid
FK_UserPermissionGroup_UpdatedWhere	UserPermissionGroup	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceSeries_UpdatedBy	DocumentFinanceSeries	UpdatedBy	UserDetail	Oid
FK_ConfigurationPrinters_DeletedBy	ConfigurationPrinters	DeletedBy	UserDetail	Oid
FK_ArticleFamily_DeletedWhere	ArticleFamily	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionItem_CreatedBy	UserPermissionItem	CreatedBy	UserDetail	Oid
FK_DocumentFinanceSeries_UpdatedWhere	DocumentFinanceSeries	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrinters_DeletedWhere	ConfigurationPrinters	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleFamily_Printer	ArticleFamily	Printer	ConfigurationPrinters	Oid
FK_UserPermissionItem_CreatedWhere	UserPermissionItem	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceType_CreatedBy	DocumentFinanceType	CreatedBy	UserDetail	Oid
FK_ConfigurationPrinters_PrinterType	ConfigurationPrinters	PrinterType	ConfigurationPrintersType	Oid
FK_ArticleFamily_Template	ArticleFamily	Template	ConfigurationPrintersTemplates	Oid
FK_UserPermissionItem_DeletedBy	UserPermissionItem	DeletedBy	UserDetail	Oid
FK_DocumentFinanceType_CreatedWhere	DocumentFinanceType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrinters_UpdatedBy	ConfigurationPrinters	UpdatedBy	UserDetail	Oid
FK_ArticleFamily_UpdatedBy	ArticleFamily	UpdatedBy	UserDetail	Oid
FK_UserPermissionItem_DeletedWhere	UserPermissionItem	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceType_DeletedBy	DocumentFinanceType	DeletedBy	UserDetail	Oid
FK_ConfigurationPrinters_UpdatedWhere	ConfigurationPrinters	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleFamily_UpdatedWhere	ArticleFamily	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionItem_PermissionGroup	UserPermissionItem	PermissionGroup	UserPermissionGroup	Oid
FK_DocumentFinanceType_DeletedWhere	DocumentFinanceType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrintersTemplates_CreatedBy	ConfigurationPrintersTemplates	CreatedBy	UserDetail	Oid
FK_ArticleStock_Article	ArticleStock	Article	Article	Oid
FK_UserPermissionItem_UpdatedBy	UserPermissionItem	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceType_Printer	DocumentFinanceType	Printer	ConfigurationPrinters	Oid
FK_ConfigurationPrintersTemplates_CreatedWhere	ConfigurationPrintersTemplates	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleStock_CreatedBy	ArticleStock	CreatedBy	UserDetail	Oid
FK_UserPermissionItem_UpdatedWhere	UserPermissionItem	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceType_Template	DocumentFinanceType	Template	ConfigurationPrintersTemplates	Oid
FK_ConfigurationPrintersTemplates_DeletedBy	ConfigurationPrintersTemplates	DeletedBy	UserDetail	Oid
FK_ArticleStock_CreatedWhere	ArticleStock	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionProfile_CreatedBy	UserPermissionProfile	CreatedBy	UserDetail	Oid
FK_DocumentFinanceType_UpdatedBy	DocumentFinanceType	UpdatedBy	UserDetail	Oid
FK_ConfigurationPrintersTemplates_DeletedWhere	ConfigurationPrintersTemplates	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleStock_Customer	ArticleStock	Customer	Customer	Oid
FK_UserPermissionProfile_CreatedWhere	UserPermissionProfile	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceType_UpdatedWhere	DocumentFinanceType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrintersTemplates_UpdatedBy	ConfigurationPrintersTemplates	UpdatedBy	UserDetail	Oid
FK_ArticleStock_DeletedBy	ArticleStock	DeletedBy	UserDetail	Oid
FK_UserPermissionProfile_DeletedBy	UserPermissionProfile	DeletedBy	UserDetail	Oid
FK_DocumentFinanceYears_CreatedBy	DocumentFinanceYears	CreatedBy	UserDetail	Oid
FK_ConfigurationPrintersTemplates_UpdatedWhere	ConfigurationPrintersTemplates	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleStock_DeletedWhere	ArticleStock	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionProfile_DeletedWhere	UserPermissionProfile	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceYears_CreatedWhere	DocumentFinanceYears	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrintersType_CreatedBy	ConfigurationPrintersType	CreatedBy	UserDetail	Oid
FK_ArticleStock_DocumentDetail	ArticleStock	DocumentDetail	DocumentFinanceDetail	Oid
FK_UserPermissionProfile_PermissionItem	UserPermissionProfile	PermissionItem	UserPermissionItem	Oid
FK_DocumentFinanceYears_DeletedBy	DocumentFinanceYears	DeletedBy	UserDetail	Oid
FK_ConfigurationPrintersType_CreatedWhere	ConfigurationPrintersType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleStock_DocumentMaster	ArticleStock	DocumentMaster	DocumentFinanceMaster	Oid
FK_UserPermissionProfile_UpdatedBy	UserPermissionProfile	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceYears_DeletedWhere	DocumentFinanceYears	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPrintersType_DeletedBy	ConfigurationPrintersType	DeletedBy	UserDetail	Oid
FK_ArticleStock_UpdatedBy	ArticleStock	UpdatedBy	UserDetail	Oid
FK_UserPermissionProfile_UpdatedWhere	UserPermissionProfile	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceYears_UpdatedBy	DocumentFinanceYears	UpdatedBy	UserDetail	Oid
