FK_Article_Type	Article	Type	ArticleType	Oid
FK_WorkSessionPeriodTotal_DeletedBy	WorkSessionPeriodTotal	DeletedBy	UserDetail	Oid
FK_DocumentOrderTicket_UpdatedWhere	DocumentOrderTicket	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_CustomerDiscountGroup_CreatedBy	CustomerDiscountGroup	CreatedBy	UserDetail	Oid
FK_ConfigurationCurrency_UpdatedBy	ConfigurationCurrency	UpdatedBy	UserDetail	Oid
FK_WorkSessionPeriodTotal_DeletedWhere	WorkSessionPeriodTotal	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_Report_CreatedBy	Report	CreatedBy	UserDetail	Oid
FK_CustomerDiscountGroup_CreatedWhere	CustomerDiscountGroup	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationCurrency_UpdatedWhere	ConfigurationCurrency	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriodTotal_PaymentMethod	WorkSessionPeriodTotal	PaymentMethod	ConfigurationPaymentMethod	Oid
FK_Report_CreatedWhere	Report	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_CustomerDiscountGroup_DeletedBy	CustomerDiscountGroup	DeletedBy	UserDetail	Oid
FK_ConfigurationDevice_CreatedBy	ConfigurationDevice	CreatedBy	UserDetail	Oid
FK_WorkSessionPeriodTotal_Period	WorkSessionPeriodTotal	Period	WorkSessionPeriod	Oid
FK_Report_DeletedBy	Report	DeletedBy	UserDetail	Oid
FK_CustomerDiscountGroup_DeletedWhere	CustomerDiscountGroup	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationDevice_CreatedWhere	ConfigurationDevice	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_WorkSessionPeriodTotal_UpdatedBy	WorkSessionPeriodTotal	UpdatedBy	UserDetail	Oid
FK_Report_DeletedWhere	Report	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_CustomerDiscountGroup_UpdatedBy	CustomerDiscountGroup	UpdatedBy	UserDetail	Oid
FK_ConfigurationDevice_DeletedBy	ConfigurationDevice	DeletedBy	UserDetail	Oid
FK_WorkSessionPeriodTotal_UpdatedWhere	WorkSessionPeriodTotal	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_Report_ReportType	Report	ReportType	ReportType	Oid
FK_CustomerDiscountGroup_UpdatedWhere	CustomerDiscountGroup	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationDevice_DeletedWhere	ConfigurationDevice	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_Report_UpdatedBy	Report	UpdatedBy	UserDetail	Oid
FK_CustomerType_CreatedBy	CustomerType	CreatedBy	UserDetail	Oid
FK_ConfigurationDevice_PlaceTerminal	ConfigurationDevice	PlaceTerminal	ConfigurationPlaceTerminal	Oid
FK_Report_UpdatedWhere	Report	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_CustomerType_CreatedWhere	CustomerType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationDevice_UpdatedBy	ConfigurationDevice	UpdatedBy	UserDetail	Oid
FK_ReportType_CreatedBy	ReportType	CreatedBy	UserDetail	Oid
FK_CustomerType_DeletedBy	CustomerType	DeletedBy	UserDetail	Oid
FK_ConfigurationDevice_UpdatedWhere	ConfigurationDevice	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ReportType_CreatedWhere	ReportType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_CustomerType_DeletedWhere	CustomerType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationHolidays_CreatedBy	ConfigurationHolidays	CreatedBy	UserDetail	Oid
FK_ReportType_DeletedBy	ReportType	DeletedBy	UserDetail	Oid
FK_CustomerType_UpdatedBy	CustomerType	UpdatedBy	UserDetail	Oid
FK_ConfigurationHolidays_CreatedWhere	ConfigurationHolidays	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ReportType_DeletedWhere	ReportType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_CustomerType_UpdatedWhere	CustomerType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationHolidays_DeletedBy	ConfigurationHolidays	DeletedBy	UserDetail	Oid
FK_ReportType_UpdatedBy	ReportType	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceDetail_Article	DocumentFinanceDetail	Article	Article	Oid
FK_ConfigurationHolidays_DeletedWhere	ConfigurationHolidays	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ReportType_UpdatedWhere	ReportType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetail_CreatedBy	DocumentFinanceDetail	CreatedBy	UserDetail	Oid
FK_ConfigurationHolidays_UpdatedBy	ConfigurationHolidays	UpdatedBy	UserDetail	Oid
FK_SystemAudit_AuditType	SystemAudit	AuditType	SystemAuditType	Oid
FK_DocumentFinanceDetail_CreatedWhere	DocumentFinanceDetail	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationHolidays_UpdatedWhere	ConfigurationHolidays	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAudit_CreatedBy	SystemAudit	CreatedBy	UserDetail	Oid
FK_DocumentFinanceDetail_DeletedBy	DocumentFinanceDetail	DeletedBy	UserDetail	Oid
FK_ConfigurationKeyboard_CreatedBy	ConfigurationKeyboard	CreatedBy	UserDetail	Oid
FK_SystemAudit_CreatedWhere	SystemAudit	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetail_DeletedWhere	DocumentFinanceDetail	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationKeyboard_CreatedWhere	ConfigurationKeyboard	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAudit_DeletedBy	SystemAudit	DeletedBy	UserDetail	Oid
FK_DocumentFinanceDetail_DocumentMaster	DocumentFinanceDetail	DocumentMaster	DocumentFinanceMaster	Oid
FK_ConfigurationKeyboard_DeletedBy	ConfigurationKeyboard	DeletedBy	UserDetail	Oid
FK_SystemAudit_DeletedWhere	SystemAudit	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetail_UpdatedBy	DocumentFinanceDetail	UpdatedBy	UserDetail	Oid
FK_ConfigurationKeyboard_DeletedWhere	ConfigurationKeyboard	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAudit_Terminal	SystemAudit	Terminal	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetail_UpdatedWhere	DocumentFinanceDetail	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationKeyboard_UpdatedBy	ConfigurationKeyboard	UpdatedBy	UserDetail	Oid
FK_SystemAudit_UpdatedBy	SystemAudit	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceDetail_VatExemptionReason	DocumentFinanceDetail	VatExemptionReason	ConfigurationVatExemptionReason	Oid
FK_ConfigurationKeyboard_UpdatedWhere	ConfigurationKeyboard	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAudit_UpdatedWhere	SystemAudit	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetail_VatRate	DocumentFinanceDetail	VatRate	ConfigurationVatRate	Oid
FK_ConfigurationMaintenance_CreatedBy	ConfigurationMaintenance	CreatedBy	UserDetail	Oid
FK_SystemAudit_UserDetail	SystemAudit	UserDetail	UserDetail	Oid
FK_DocumentFinanceDetailOrderReference_CreatedBy	DocumentFinanceDetailOrderReference	CreatedBy	UserDetail	Oid
FK_ConfigurationMaintenance_CreatedWhere	ConfigurationMaintenance	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAuditType_CreatedBy	SystemAuditType	CreatedBy	UserDetail	Oid
FK_DocumentFinanceDetailOrderReference_CreatedWhere	DocumentFinanceDetailOrderReference	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationMaintenance_DeletedBy	ConfigurationMaintenance	DeletedBy	UserDetail	Oid
FK_SystemAuditType_CreatedWhere	SystemAuditType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailOrderReference_DeletedBy	DocumentFinanceDetailOrderReference	DeletedBy	UserDetail	Oid
FK_ConfigurationMaintenance_DeletedWhere	ConfigurationMaintenance	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAuditType_DeletedBy	SystemAuditType	DeletedBy	UserDetail	Oid
FK_DocumentFinanceDetailOrderReference_DeletedWhere	DocumentFinanceDetailOrderReference	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationMaintenance_UpdatedBy	ConfigurationMaintenance	UpdatedBy	UserDetail	Oid
FK_SystemAuditType_DeletedWhere	SystemAuditType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailOrderReference_DocumentDetail	DocumentFinanceDetailOrderReference	DocumentDetail	DocumentFinanceDetail	Oid
FK_ConfigurationMaintenance_UpdatedWhere	ConfigurationMaintenance	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemAuditType_UpdatedBy	SystemAuditType	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceDetailOrderReference_DocumentMaster	DocumentFinanceDetailOrderReference	DocumentMaster	DocumentFinanceMaster	Oid
FK_ConfigurationPaymentCondition_CreatedBy	ConfigurationPaymentCondition	CreatedBy	UserDetail	Oid
FK_SystemAuditType_UpdatedWhere	SystemAuditType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailOrderReference_UpdatedBy	DocumentFinanceDetailOrderReference	UpdatedBy	UserDetail	Oid
FK_ConfigurationPaymentCondition_CreatedWhere	ConfigurationPaymentCondition	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemBackup_CreatedBy	SystemBackup	CreatedBy	UserDetail	Oid
FK_DocumentFinanceDetailOrderReference_UpdatedWhere	DocumentFinanceDetailOrderReference	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPaymentCondition_DeletedBy	ConfigurationPaymentCondition	DeletedBy	UserDetail	Oid
FK_SystemBackup_CreatedWhere	SystemBackup	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailReference_CreatedBy	DocumentFinanceDetailReference	CreatedBy	UserDetail	Oid
FK_ConfigurationPaymentCondition_DeletedWhere	ConfigurationPaymentCondition	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemBackup_DeletedBy	SystemBackup	DeletedBy	UserDetail	Oid
FK_DocumentFinanceDetailReference_CreatedWhere	DocumentFinanceDetailReference	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPaymentCondition_UpdatedBy	ConfigurationPaymentCondition	UpdatedBy	UserDetail	Oid
FK_SystemBackup_DeletedWhere	SystemBackup	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailReference_DeletedBy	DocumentFinanceDetailReference	DeletedBy	UserDetail	Oid
FK_ConfigurationPaymentCondition_UpdatedWhere	ConfigurationPaymentCondition	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemBackup_Terminal	SystemBackup	Terminal	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailReference_DeletedWhere	DocumentFinanceDetailReference	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPaymentMethod_CreatedBy	ConfigurationPaymentMethod	CreatedBy	UserDetail	Oid
FK_SystemBackup_UpdatedBy	SystemBackup	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceDetailReference_DocumentDetail	DocumentFinanceDetailReference	DocumentDetail	DocumentFinanceDetail	Oid
FK_ConfigurationPaymentMethod_CreatedWhere	ConfigurationPaymentMethod	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemBackup_UpdatedWhere	SystemBackup	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceDetailReference_DocumentMaster	DocumentFinanceDetailReference	DocumentMaster	DocumentFinanceMaster	Oid
FK_ConfigurationPaymentMethod_DeletedBy	ConfigurationPaymentMethod	DeletedBy	UserDetail	Oid
FK_SystemBackup_User	SystemBackup	User	UserDetail	Oid
FK_DocumentFinanceDetailReference_UpdatedBy	DocumentFinanceDetailReference	UpdatedBy	UserDetail	Oid
FK_ConfigurationPaymentMethod_DeletedWhere	ConfigurationPaymentMethod	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotification_CreatedBy	SystemNotification	CreatedBy	UserDetail	Oid
FK_DocumentFinanceDetailReference_UpdatedWhere	DocumentFinanceDetailReference	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPaymentMethod_UpdatedBy	ConfigurationPaymentMethod	UpdatedBy	UserDetail	Oid
FK_SystemNotification_CreatedWhere	SystemNotification	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_CreatedBy	DocumentFinanceMaster	CreatedBy	UserDetail	Oid
FK_ConfigurationPaymentMethod_UpdatedWhere	ConfigurationPaymentMethod	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotification_DeletedBy	SystemNotification	DeletedBy	UserDetail	Oid
FK_DocumentFinanceMaster_CreatedWhere	DocumentFinanceMaster	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlace_CreatedBy	ConfigurationPlace	CreatedBy	UserDetail	Oid
FK_SystemNotification_DeletedWhere	SystemNotification	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_Currency	DocumentFinanceMaster	Currency	ConfigurationCurrency	Oid
FK_ConfigurationPlace_CreatedWhere	ConfigurationPlace	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotification_NotificationType	SystemNotification	NotificationType	SystemNotificationType	Oid
FK_DocumentFinanceMaster_DeletedBy	DocumentFinanceMaster	DeletedBy	UserDetail	Oid
FK_ConfigurationPlace_DeletedBy	ConfigurationPlace	DeletedBy	UserDetail	Oid
FK_SystemNotification_TerminalLastRead	SystemNotification	TerminalLastRead	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_DeletedWhere	DocumentFinanceMaster	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlace_DeletedWhere	ConfigurationPlace	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotification_TerminalTarget	SystemNotification	TerminalTarget	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_DocumentChild	DocumentFinanceMaster	DocumentChild	DocumentFinanceMaster	Oid
FK_ConfigurationPlace_MovementType	ConfigurationPlace	MovementType	ConfigurationPlaceMovementType	Oid
FK_SystemNotification_UpdatedBy	SystemNotification	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceMaster_DocumentParent	DocumentFinanceMaster	DocumentParent	DocumentFinanceMaster	Oid
FK_ConfigurationPlace_PriceType	ConfigurationPlace	PriceType	ConfigurationPriceType	Oid
FK_SystemNotification_UpdatedWhere	SystemNotification	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_DocumentSerie	DocumentFinanceMaster	DocumentSerie	DocumentFinanceSeries	Oid
FK_ConfigurationPlace_UpdatedBy	ConfigurationPlace	UpdatedBy	UserDetail	Oid
FK_SystemNotification_UserLastRead	SystemNotification	UserLastRead	UserDetail	Oid
FK_DocumentFinanceMaster_DocumentType	DocumentFinanceMaster	DocumentType	DocumentFinanceType	Oid
FK_ConfigurationPlace_UpdatedWhere	ConfigurationPlace	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotification_UserTarget	SystemNotification	UserTarget	UserDetail	Oid
FK_DocumentFinanceMaster_PaymentCondition	DocumentFinanceMaster	PaymentCondition	ConfigurationPaymentCondition	Oid
FK_ConfigurationPlaceMovementType_CreatedBy	ConfigurationPlaceMovementType	CreatedBy	UserDetail	Oid
FK_SystemNotificationType_CreatedBy	SystemNotificationType	CreatedBy	UserDetail	Oid
FK_DocumentFinanceMaster_PaymentMethod	DocumentFinanceMaster	PaymentMethod	ConfigurationPaymentMethod	Oid
FK_ConfigurationPlaceMovementType_CreatedWhere	ConfigurationPlaceMovementType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotificationType_CreatedWhere	SystemNotificationType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_SourceOrderMain	DocumentFinanceMaster	SourceOrderMain	DocumentOrderMain	Oid
FK_ConfigurationPlaceMovementType_DeletedBy	ConfigurationPlaceMovementType	DeletedBy	UserDetail	Oid
FK_SystemNotificationType_DeletedBy	SystemNotificationType	DeletedBy	UserDetail	Oid
FK_DocumentFinanceMaster_UpdatedBy	DocumentFinanceMaster	UpdatedBy	UserDetail	Oid
FK_ConfigurationPlaceMovementType_DeletedWhere	ConfigurationPlaceMovementType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotificationType_DeletedWhere	SystemNotificationType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMaster_UpdatedWhere	DocumentFinanceMaster	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceMovementType_UpdatedBy	ConfigurationPlaceMovementType	UpdatedBy	UserDetail	Oid
FK_SystemNotificationType_TerminalTarget	SystemNotificationType	TerminalTarget	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterPayment_CreatedBy	DocumentFinanceMasterPayment	CreatedBy	UserDetail	Oid
FK_ConfigurationPlaceMovementType_UpdatedWhere	ConfigurationPlaceMovementType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotificationType_UpdatedBy	SystemNotificationType	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceMasterPayment_CreatedWhere	DocumentFinanceMasterPayment	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTable_CreatedBy	ConfigurationPlaceTable	CreatedBy	UserDetail	Oid
FK_SystemNotificationType_UpdatedWhere	SystemNotificationType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterPayment_DeletedBy	DocumentFinanceMasterPayment	DeletedBy	UserDetail	Oid
FK_ConfigurationPlaceTable_CreatedWhere	ConfigurationPlaceTable	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemNotificationType_UserTarget	SystemNotificationType	UserTarget	UserDetail	Oid
FK_DocumentFinanceMasterPayment_DeletedWhere	DocumentFinanceMasterPayment	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTable_DeletedBy	ConfigurationPlaceTable	DeletedBy	UserDetail	Oid
FK_SystemPrint_CreatedBy	SystemPrint	CreatedBy	UserDetail	Oid
FK_DocumentFinanceMasterPayment_DocumentFinanceMaster	DocumentFinanceMasterPayment	DocumentFinanceMaster	DocumentFinanceMaster	Oid
FK_ConfigurationPlaceTable_DeletedWhere	ConfigurationPlaceTable	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemPrint_CreatedWhere	SystemPrint	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterPayment_DocumentFinanceMasterCreditNote	DocumentFinanceMasterPayment	DocumentFinanceMasterCreditNote	DocumentFinanceMaster	Oid
FK_ConfigurationPlaceTable_Place	ConfigurationPlaceTable	Place	ConfigurationPlace	Oid
FK_Article_Class	Article	Class	ArticleClass	Oid
FK_SystemPrint_DeletedBy	SystemPrint	DeletedBy	UserDetail	Oid
FK_DocumentFinanceMasterPayment_DocumentFinancePayment	DocumentFinanceMasterPayment	DocumentFinancePayment	DocumentFinancePayment	Oid
FK_ConfigurationPlaceTable_UpdatedBy	ConfigurationPlaceTable	UpdatedBy	UserDetail	Oid
FK_Article_CommissionGroup	Article	CommissionGroup	UserCommissionGroup	Oid
FK_SystemPrint_DeletedWhere	SystemPrint	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterPayment_UpdatedBy	DocumentFinanceMasterPayment	UpdatedBy	UserDetail	Oid
FK_ConfigurationPlaceTable_UpdatedWhere	ConfigurationPlaceTable	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_Article_CreatedBy	Article	CreatedBy	UserDetail	Oid
FK_SystemPrint_DocumentMaster	SystemPrint	DocumentMaster	DocumentFinanceMaster	Oid
FK_DocumentFinanceMasterPayment_UpdatedWhere	DocumentFinanceMasterPayment	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTerminal_CreatedBy	ConfigurationPlaceTerminal	CreatedBy	UserDetail	Oid
FK_Article_CreatedWhere	Article	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemPrint_DocumentPayment	SystemPrint	DocumentPayment	DocumentFinancePayment	Oid
FK_DocumentFinanceMasterTotal_CreatedBy	DocumentFinanceMasterTotal	CreatedBy	UserDetail	Oid
FK_ConfigurationPlaceTerminal_CreatedWhere	ConfigurationPlaceTerminal	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_Article_DeletedBy	Article	DeletedBy	UserDetail	Oid
FK_SystemPrint_Terminal	SystemPrint	Terminal	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterTotal_CreatedWhere	DocumentFinanceMasterTotal	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTerminal_DeletedBy	ConfigurationPlaceTerminal	DeletedBy	UserDetail	Oid
FK_Article_DeletedWhere	Article	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_SystemPrint_UpdatedBy	SystemPrint	UpdatedBy	UserDetail	Oid
FK_DocumentFinanceMasterTotal_DeletedBy	DocumentFinanceMasterTotal	DeletedBy	UserDetail	Oid
FK_ConfigurationPlaceTerminal_DeletedWhere	ConfigurationPlaceTerminal	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_Article_DiscountGroup	Article	DiscountGroup	CustomerDiscountGroup	Oid
FK_SystemPrint_UpdatedWhere	SystemPrint	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterTotal_DeletedWhere	DocumentFinanceMasterTotal	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTerminal_Place	ConfigurationPlaceTerminal	Place	ConfigurationPlace	Oid
FK_Article_Family	Article	Family	ArticleFamily	Oid
FK_SystemPrint_UserDetail	SystemPrint	UserDetail	UserDetail	Oid
FK_DocumentFinanceMasterTotal_DocumentMaster	DocumentFinanceMasterTotal	DocumentMaster	DocumentFinanceMaster	Oid
FK_ConfigurationPlaceTerminal_Printer	ConfigurationPlaceTerminal	Printer	ConfigurationPrinters	Oid
FK_Article_Printer	Article	Printer	ConfigurationPrinters	Oid
FK_UserCommissionGroup_CreatedBy	UserCommissionGroup	CreatedBy	UserDetail	Oid
FK_DocumentFinanceMasterTotal_UpdatedBy	DocumentFinanceMasterTotal	UpdatedBy	UserDetail	Oid
FK_ConfigurationPlaceTerminal_TemplateTablesConsult	ConfigurationPlaceTerminal	TemplateTablesConsult	ConfigurationPrintersTemplates	Oid
FK_Article_SubFamily	Article	SubFamily	ArticleSubFamily	Oid
FK_UserCommissionGroup_CreatedWhere	UserCommissionGroup	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceMasterTotal_UpdatedWhere	DocumentFinanceMasterTotal	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTerminal_TemplateTicket	ConfigurationPlaceTerminal	TemplateTicket	ConfigurationPrintersTemplates	Oid
FK_Article_Template	Article	Template	ConfigurationPrintersTemplates	Oid
FK_UserCommissionGroup_DeletedBy	UserCommissionGroup	DeletedBy	UserDetail	Oid
FK_DocumentFinancePayment_CreatedBy	DocumentFinancePayment	CreatedBy	UserDetail	Oid
FK_ConfigurationPlaceTerminal_UpdatedBy	ConfigurationPlaceTerminal	UpdatedBy	UserDetail	Oid
